  1, 22, 22,  1,  0,  0,  1, 20
  2,  8, 38,  3,  0,  0, 37, 32
  3, 36, 18,  3,  0,  0, 33,  6
  4, 30, 13,  3,  0,  0, 34, 39
  5, 30, 34,  3,  0,  0, 33, 49
  6, 11,  4,  3,  0,  0, 34, 32
  7, 31,  9,  3,  0,  0, 39,  5
  8, 10, 40,  3,  0,  0, 40, 12
  9,  8,  1,  7,  0,  0, 59, 19
 10,  4,  8,  7,  0,  0, 37, 14
 11, 14,  5,  9,  0,  0, 34, 24
 12,  5,  6,  9,  0,  0, 33, 18
 13, 10, 30,  9,  0,  0, 35, 50
 14, 34, 33,  9,  0,  0, 34, 32
 15, 34, 18,  9,  0,  0, 29, 41
 16, 11,  2,  5,  0,  0, 40, 48
 17, 29, 22,  6,  0,  0, 33, 21
 18, 14, 13,  6,  0,  0, 29, 37
 19, 19, 26,  6,  0,  0, 36, 31
 20, 38, 27,  6,  0,  0, 35, 48
 21, 37, 13,  6,  0,  0, 38, 16
 22,  2, 24, 12,  0,  0, 22, 28
 23, 30, 24, 12,  0,  0, 22, 13
 24, 21,  9, 12,  0,  0, 27, 20
 25, 29, 21,  8,  0,  0, 38, 39
 26, 35, 23,  8,  0,  0, 38, 34
 27, 16, 20,  8,  0,  0, 36, 25
 28, 24, 29,  8,  0,  0, 33, 37
 29, 25,  2,  4,  0,  0, 19, 48
 30, 24, 18,  4,  0,  0, 19, 34
 31,  3, 14, 10,  0,  0, 39, 27
 32, 15,  8,  1,  0,  0, 32, 29
 33, 30, 11,  1,  0,  0, 31,  2
 34,  8, 32,  1,  0,  0, 24, 26
 35,  0,  0,  0,  0,  0,  0,  0
 36,  0,  0,  0,  0,  0,  0,  0
 37,  0,  0,  0,  0,  0,  0,  0
 38,  0,  0,  0,  0,  0,  0,  0
 39,  0,  0,  0,  0,  0,  0,  0
 40, 19,  8,  4,  0,  0, 19,  0
 41, 19,  4,  7,  0,  0, 20,  0
 42,  6,  5, 10,  0,  0, 21,  0
 43, 12, 25, 12,  0,  0, 22,  0
 44, 21, 15, 11,  0,  0, 23,  0
 45,  4,  7,  5,  0,  0, 24,  0
 46,  7, 25,  4,  0,  0, 19,  0
 47,  6, 30,  4,  0,  0, 19,  0
 48, 36, 32,  4,  0,  0, 19,  0
 49, 37, 22,  4,  0,  0, 19,  0
 50, 25, 30,  4,  0,  0, 26,  0
 51, 22, 26,  7,  0,  0, 25,  0
 52,  6, 17,  7,  0,  0, 28,  0
 53, 35, 13,  7,  0,  0, 29,  0
 54, 24, 34,  7,  0,  0, 27,  0
